Designator,Mid X,Mid Y,Rotation,Layer
SW1,83.425,-62.51875,0.0,top
SW10,140.575,-62.51875,0.0,top
SW11,140.575,-81.56875,0.0,top
SW12,140.575,-100.61875,0.0,top
SW2,83.425,-81.56875,0.0,top
SW3,83.425,-100.61875,0.0,top
SW4,102.475,-62.51875,0.0,top
SW5,102.475,-81.56875,0.0,top
SW6,102.475,-100.61875,0.0,top
SW7,121.525,-62.51875,0.0,top
SW8,121.525,-81.56875,0.0,top
SW9,121.525,-100.61875,0.0,top
