Designator,Footprint,Quantity,Value,LCSC Part #
"H1, H10, H11, H12, H13, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_2.2mm_M2,13,MountingHole,
"SW1, SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Hole,12,SW_PUSH,
